"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-04-23;YTD;"0.01%"
"8263";APV;2023-04-24;"1M";-0.67%
"8263";APV;2023-04-24;"3M";-0.59%
"8263";APV;2023-04-24;"6M";"1.79%"
"8263";APV;2023-04-24;"1Y";-3.43%
"8263";APV;2023-04-24;YTD;-0.15%
"8263";APV;2023-04-25;"1M";-0.71%
"8263";APV;2023-04-25;"3M";-0.60%
"8263";APV;2023-04-25;"6M";"1.71%"
"8263";APV;2023-04-25;"1Y";-3.49%
"8263";APV;2023-04-25;YTD;-0.18%
"8263";APV;2023-04-26;"1M";-0.85%
"8263";APV;2023-04-26;"3M";-0.75%
"8263";APV;2023-04-26;"6M";"1.51%"
"8263";APV;2023-04-26;"1Y";-3.46%
"8263";APV;2023-04-26;YTD;-0.31%
"8263";APV;2023-04-27;"1M";-0.68%
"8263";APV;2023-04-27;"3M";-0.71%
"8263";APV;2023-04-27;"6M";"1.59%"
"8263";APV;2023-04-27;"1Y";-3.45%
"8263";APV;2023-04-27;YTD;-0.29%
"8263";APV;2023-04-28;"1M";-0.91%
"8263";APV;2023-04-28;"3M";-0.73%
"8263";APV;2023-04-28;"6M";"1.53%"
"8263";APV;2023-04-28;"1Y";-3.41%
"8263";APV;2023-04-28;YTD;-0.30%
"8263";APV;2023-04-29;"1M";-0.92%
"8263";APV;2023-04-29;"3M";-0.73%
"8263";APV;2023-04-29;"6M";"1.53%"
"8263";APV;2023-04-29;"1Y";-3.31%
"8263";APV;2023-04-29;YTD;-0.29%
"8263";APV;2023-04-30;"1M";-1.23%
"8263";APV;2023-04-30;"3M";-0.65%
"8263";APV;2023-04-30;"6M";"1.53%"
"8263";APV;2023-04-30;"1Y";-3.30%
"8263";APV;2023-04-30;YTD;-0.28%
"8263";APV;2023-05-01;"1M";-1.25%
"8263";APV;2023-05-01;"3M";-0.43%
"8263";APV;2023-05-01;"6M";"1.52%"
"8263";APV;2023-05-01;"1Y";-3.29%
"8263";APV;2023-05-01;YTD;-0.27%
"8263";APV;2023-05-02;"1M";-1.38%
"8263";APV;2023-05-02;"3M";-0.66%
"8263";APV;2023-05-02;"6M";"1.34%"
"8263";APV;2023-05-02;"1Y";-3.18%
"8263";APV;2023-05-02;YTD;-0.39%
"8263";APV;2023-05-03;"1M";-1.46%
"8263";APV;2023-05-03;"3M";-0.52%
"8263";APV;2023-05-03;"6M";"1.33%"
"8263";APV;2023-05-03;"1Y";-3.05%
"8263";APV;2023-05-03;YTD;-0.30%
"8263";APV;2023-05-04;"1M";-1.44%
"8263";APV;2023-05-04;"3M";-0.59%
"8263";APV;2023-05-04;"6M";"1.15%"
"8263";APV;2023-05-04;"1Y";-3.04%
"8263";APV;2023-05-04;YTD;-0.37%
"8263";APV;2023-05-05;"1M";-1.49%
"8263";APV;2023-05-05;"3M";-0.77%
"8263";APV;2023-05-05;"6M";"0.97%"
